week	CRC1	CRC2	CRC3	CRC4
1	711282	711282	711282	711282
2	711282	711282	711282	711282
3	711282	711282	711282	711282
4	711282	711282	711282	711282
5	711282	711282	711282	711282
6	737712	737712	737712	737712
7	764141	764141	764141	764141
8	790571	790571	790571	790571
9	817000	817000	817000	817000
10	817000	817000	817000	817000
11	817000	817000	817000	817000
12	817000	817000	817000	817000
13	817000	817000	817000	817000
14	817000	817000	817000	817000
15	817000	817000	817000	817000
16	817000	817000	817000	817000
17	817000	817000	817000	817000
18	817000	817000	817000	817000
19	817000	817000	817000	817000
20	817000	817000	817000	817000
21	817000	817000	817000	817000
22	817000	817000	817000	817000
23	810693	810693	810693	810693
24	804386	804386	804386	804386
25	798078	798078	798078	798078
26	791771	791771	791771	791771
27	785464	785464	785464	785464
28	741828	741828	741828	653960
29	698192	698192	698192	522456
30	654555	654555	654555	390952
31	610919	610919	610919	259448
32	529101	529101	529101	0
33	447283	447283	447283	0
34	365464	365464	365464	0
35	283646	283646	283646	0
36	283646	283646	283646	0
37	283646	283646	283646	0
38	283646	283646	283646	0
39	283646	283646	283646	0
40	283646	283646	283646	0
41	283646	283646	283646	0
42	283646	283646	283646	0
43	283646	283646	283646	0
44	283646	283646	283646	0
45	390555	390555	390555	0
46	497464	497464	497464	0
47	604373	604373	604373	0
48	711282	711282	711282	0
49	711282	711282	711282	0
50	711282	711282	711282	0
51	711282	711282	711282	0
52	711282	711282	711282	0
